Date,Open,High,Low,Close,Volume
02/28/2025,"3,500","3,540","3,360","3,360","1,000,597,000"
02/27/2025,"3,790","3,800","3,610","3,630","410,928,000"
02/26/2025,"3,800","3,860","3,760","3,820","242,834,094"
02/25/2025,"3,880","3,920","3,800","3,800","404,555,125"
02/24/2025,"3,900","3,940","3,870","3,920","138,610,797"
02/21/2025,"3,910","3,930","3,870","3,890","205,268,797"
02/20/2025,"3,970","4,020","3,910","3,910","312,753,312"
02/19/2025,"4,160","4,180","4,010","4,020","348,358,594"
02/18/2025,"4,030","4,180","4,030","4,150","374,350,719"
02/17/2025,"3,870","4,030","3,870","4,030","265,737,094"
02/14/2025,"4,000","4,010","3,850","3,860","524,909,625"
02/13/2025,"4,000","4,030","3,960","3,990","341,640,594"
02/12/2025,"3,960","4,060","3,950","4,030","362,571,906"
02/11/2025,"3,970","4,040","3,900","4,010","276,382,781"
02/10/2025,"4,000","4,050","3,950","3,970","201,999,391"
02/07/2025,"3,970","4,030","3,940","4,030","259,636,188"
02/06/2025,"4,120","4,160","3,940","3,970","378,545,531"
02/05/2025,"4,250","4,250","4,140","4,140","209,834,406"
02/04/2025,"4,260","4,300","4,200","4,260","231,917,500"
02/03/2025,"4,200","4,270","4,150","4,250","220,285,797"
01/31/2025,"4,170","4,280","4,150","4,220","192,622,703"
01/30/2025,"4,130","4,170","4,090","4,120","220,222,406"
01/24/2025,"4,350","4,350","4,190","4,190","276,421,875"
01/23/2025,"4,260","4,340","4,260","4,300","216,018,094"
01/22/2025,"4,310","4,320","4,230","4,260","193,218,891"
01/21/2025,"4,270","4,380","4,250","4,260","345,223,812"
01/20/2025,"4,130","4,220","4,130","4,220","167,348,609"
01/17/2025,"4,150","4,190","4,080","4,090","268,758,594"
01/16/2025,"4,210","4,240","4,130","4,160","349,387,531"
01/15/2025,"3,840","4,090","3,840","4,090","407,813,500"
01/14/2025,"3,820","3,920","3,800","3,800","293,621,688"
01/13/2025,"3,990","3,990","3,850","3,850","413,408,062"
01/10/2025,"4,030","4,060","4,010","4,010","132,774,297"
01/09/2025,"4,070","4,100","4,030","4,030","99,300,398"
01/08/2025,"4,030","4,100","4,030","4,080","133,655,703"
01/07/2025,"4,080","4,090","4,030","4,030","171,997,406"
01/06/2025,"4,180","4,180","4,100","4,100","153,048,703"
01/03/2025,"4,220","4,240","4,150","4,150","134,632,297"
01/02/2025,"4,100","4,220","4,090","4,210","181,361,703"
12/30/2024,"4,080","4,120","4,070","4,080","153,934,703"
12/27/2024,"4,100","4,120","4,080","4,100","143,104,406"
12/24/2024,"4,220","4,250","4,170","4,200","199,536,094"
12/23/2024,"4,130","4,210","4,110","4,210","167,689,797"
12/20/2024,"4,070","4,120","4,050","4,060","252,689,594"
12/19/2024,"4,090","4,110","4,050","4,090","381,986,312"
12/18/2024,"4,170","4,210","4,130","4,150","205,055,500"
12/17/2024,"4,250","4,290","4,150","4,150","327,919,000"
12/16/2024,"4,150","4,280","4,150","4,250","325,441,875"
12/13/2024,"4,230","4,280","4,170","4,170","287,838,125"
12/12/2024,"4,340","4,360","4,260","4,260","226,698,891"
12/11/2024,"4,340","4,430","4,340","4,380","203,980,297"
12/10/2024,"4,360","4,380","4,290","4,360","196,160,891"
12/09/2024,"4,310","4,390","4,300","4,390","158,897,203"
12/06/2024,"4,250","4,310","4,220","4,310","151,432,984"
12/05/2024,"4,310","4,340","4,250","4,260","183,249,297"
12/04/2024,"4,240","4,370","4,220","4,350","345,762,219"
12/03/2024,"4,240","4,250","4,210","4,240","384,146,719"
12/02/2024,"4,270","4,280","4,160","4,170","337,188,875"
11/29/2024,"4,280","4,300","4,250","4,250","412,519,812"
11/28/2024,"4,350","4,390","4,330","4,330","277,081,781"
11/26/2024,"4,450","4,470","4,380","4,400","266,677,500"
11/25/2024,"4,420","4,530","4,420","4,470","401,446,406"
11/22/2024,"4,250","4,420","4,250","4,400","280,188,094"
11/21/2024,"4,280","4,320","4,250","4,250","376,788,406"
11/20/2024,"4,400","4,440","4,330","4,330","298,734,594"
11/19/2024,"4,350","4,410","4,350","4,360","294,851,500"
11/18/2024,"4,440","4,460","4,350","4,350","259,191,906"
